name;manufacturer;serving_size;energy_kcal;protein_g;carbohydrate_g;fat_g;sugar_g;sodium_mg;fiber_g;energy_percentage_dv;protein_percentage_dv;carbohydrate_percentage_dv;fat_percentage_dv;sodium_percentage_dv;Lemak jenuh;Natrium;Protein;Karbohidrat total;Energi;Lemak total;Serat pangan;Column1;Column2;Column3;Column4
Onde-onde;Tidak Diketahui;0.60 g;336.0;4.0;57.9;9.8;0.0;0.0;0.0;15.63;6.67;17.82;14.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Sarimi isi 2 ayam bawang;PT. SARIMI ASLI JAYA;3 g;510.0;13.0;70.0;20.0;3.0;0.0;3.0;23.72;21.67;21.54;29.85;0.0;0.0;0.0;22.0;0.0;24.0;30.0;0.0;;;;
Mie Kuah Gaga 100 Xtra Pedas  Jalapeno;Tidak Diketahui;9 g;120.0;9.0;43.0;13.0;2.0;1320.0;0.0;15.35;15.0;13.23;19.4;88.0;0.0;88.0;0.0;0.0;16.0;20.0;0.0;;;;
Kin bulgarian style yogurt strawberry;PT. ABC kogyn dairy;4 g;35.0;4.0;29.0;3.5;27.0;50.0;0.0;7.91;6.67;8.92;5.22;3.33;0.0;0.0;7.0;9.0;8.0;0.0;0.0;;;;
Lumai / leunca; segar;Tidak Diketahui;0.50 g;38.0;1.1;7.6;0.3;0.0;2.0;2.0;1.77;1.83;2.34;0.45;0.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Keripik tempe abadi prima;Tidak Diketahui;2.60 g;540.0;16.7;42.0;33.9;0.0;0.0;2.2;25.12;27.83;12.92;50.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Hokben Chicken karaage;Tidak Diketahui;25 g;340.0;25.0;15.0;20.5;0.0;0.0;0.0;15.81;41.67;4.62;30.6;0.0;0.0;0.0;42.0;0.0;16.0;31.0;0.0;;;;
Kwaci;Tidak Diketahui;3.70 g;515.0;30.6;13.8;42.1;0.0;124.0;13.6;23.95;51.0;4.25;62.84;8.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Sawo duren;Tidak Diketahui;0.60 g;64.0;1.0;8.0;3.1;0.0;13.0;0.8;2.98;1.67;2.46;4.63;0.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Subway Turkey breast sandwich;Tidak Diketahui;5 g;280.0;18.0;46.0;3.5;7.0;0.0;5.0;13.02;30.0;14.15;5.22;0.0;0.0;0.0;30.0;15.0;0.0;0.0;17.0;;;;
Qtela Tempe;PT. Indofood CBP Sukses Makmur Tbk.;4 g;110.0;4.0;8.0;7.0;0.0;0.0;0.0;5.12;6.67;2.46;10.45;0.0;0.0;0.0;7.0;0.0;6.0;11.0;0.0;;;;
Telur burung maleo; segar;Tidak Diketahui;0.80 g;436.0;26.5;0.4;36.3;0.0;77.0;0.0;20.28;44.17;0.12;54.18;5.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Marie salut cokelat;PT. KHONG GUAN;1 g;90.0;1.0;13.0;3.5;6.0;35.0;0.0;4.19;1.67;4.0;5.22;2.33;0.0;0.0;0.0;4.0;5.0;6.0;0.0;;;;
Nabati HANSEL;Tidak Diketahui;2 g;70.0;2.0;7.0;4.0;5.0;30.0;0.0;3.26;3.33;2.15;5.97;2.0;15.0;0.0;4.0;0.0;0.0;6.0;0.0;;;;
Kacang panjang biji;Tidak Diketahui;0.40 g;357.0;17.3;68.6;1.5;0.0;16.0;10.6;16.6;28.83;21.11;2.24;1.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Koro roay;Tidak Diketahui;3 g;344.0;12.5;69.4;2.1;0.0;18.0;7.5;16.0;20.83;21.35;3.13;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Bolu peca;Tidak Diketahui;0.90 g;197.0;3.3;35.6;4.6;0.0;0.0;0.0;9.16;5.5;10.95;6.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
air putih / air mineral / air minum;Tidak Diketahui;0 g;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Mr. Bread Roti tawar gandum;PT. Mr. Bread Company;2.50 g;199.0;7.0;36.0;3.0;2.0;487.0;2.5;9.26;11.67;11.08;4.48;32.47;0.0;33.0;12.0;12.0;0.0;0.0;0.0;;;;
Kacang hijau var. Siwalik; kering;Tidak Diketahui;3.70 g;339.0;20.8;64.6;2.1;0.0;45.0;7.4;15.77;34.67;19.88;3.13;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Ikan Lehoma; segar;Tidak Diketahui;1.10 g;90.0;20.4;0.0;0.9;0.0;56.0;0.0;4.19;34.0;0.0;1.34;3.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Wingko babat;Tidak Diketahui;0.70 g;355.0;3.2;51.4;15.1;0.0;0.0;2.4;16.51;5.33;15.82;22.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Permen frozz mint;PT. Konimex;0 g;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;;;;
Daun kecipir; segar;Tidak Diketahui;1 g;52.0;5.0;8.5;0.5;0.0;6.0;0.0;2.42;8.33;2.62;0.75;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Frisian flag french vanilla low fat;PT. Frisian Flag Indonesia;7 g;110.0;7.0;16.0;2.5;16.0;110.0;0.0;5.12;11.67;4.92;3.73;7.33;0.0;8.0;12.0;0.0;6.0;0.0;0.0;;;;
